what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769965748699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769965814780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769965815894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769965817514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769965820079
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769965822823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769965830026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769965832891
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769965832908
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769965834449
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769965839525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1769965845699
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1769965848141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769965848454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769965852127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769965852420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769965859285
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769965863723
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1769965864200
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769965869496
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769965921406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769965932780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769966011825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769966014414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769966015314
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769966019606
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1769966020091
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769966020716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1769966022154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1769966025503
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1769966030092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769966030435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769966031872
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769966037812
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1769966041239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769966045007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769966045987
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769966050032
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1769966050577
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1769966055839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769966098131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769966124077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769966132932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1769966148369
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1769966153926
